KKorgnr,Institution_Navn,"Andel af pæd personale, der er uddannet 2020",Antal uddannede pædagoger,Antal pædagogmedhjælpere (inkl. assistenter),Andre midlertidigt tilknyttede,Samlede pædagoger,Antal børn,Børn pr. voksen (rundet op),Koordinater,kilde:
1893,Titanrosen,59%,10,7,Ja,17,78,5,"55.82343270259395, 12.571133299951024 ",https://titanrosen-kk.aula.dk/velkommen-til-titanrosen
1894,Fix-Karreen,42%,,,,,,,,
1897,Brolopperne,62%,,,,,80,,,https://brolopperne-kk.aula.dk/hvem-er-vi
1898,Krummerne,52%,,,,,,,,
1899,Den Grønne Giraf,58%,14,7,,21,114,6,"55.64449192286203, 12.499289949959476 ",https://pasningogskole.kk.dk/institution/4000258/vuggestuen
1902,Cismofytten,55%,12,6,,18,99,6,"55.652839502842404, 12.526648969956565 ",https://pasningogskole.kk.dk/institution/4000318/vuggestuen
1903,Hvepsebo,64%,,,,,,,,
1907,Børnehuset Land og By,59%,,,,,108,,,
1909,Stenurten,84%,17,2,Ja,19,108,6,"55.6467373328692, 12.463695579962973 ",https://www.stenurten.dk/personale.asp
1912,Asgård,58%,,,,,,,,
1913,Midgård,54%,,,,,,,,
1914,Kastaniehuset - Vuggestue og Børnehave,64%,4,2,,6,26,5,"55.49911707316622, 11.981650119989686",https://kastanie-huset.dk/informationfolder/
1915,Guldsmeden,66%,,,,,82,,,https://pasningogskole.kk.dk/institution/4000498/vuggestuen
1916,Hyltebro,54%,LUKKET,,,,,,,
1919,Krible-Krable,79%,5,1,,6,24,4,"55.6517597428477, 12.514086359957918 ",https://simplyjob.com/308466/kbenhavns-kommune/paedagog-til-vuggestue-i-krible-krable
1920,7-Springeren,58%,8,4,,12,66,6,"55.59330529297385, 12.33998403997315 ",https://www.jobnetdk.com/job-details/vikar-paedagogisk-assistent-eller-paedagogmedhjaelper-til-7-springeren-kobenhavns-kommune-jobnet-denmark-696071
1921,Kernehuset,50%,,,,,70,,,"https://dk.indeed.com/Kernehuset,-Integreret-Institution-jobs-in-K%C3%B8benhavns-kommune?vjk=9fd3c16be020956c"
1922,Murergården,81%,,,Ja,9,68,8,"55.64618865287003, 12.463386569963001 ",https://murergaarden-kk.aula.dk/vuggestuen/foraeldrepjece
1923,Kålormen,51%,4,4,ja,8,64,8,,https://bornibyen.dk/koebenhavn/places/2646-kaalormen
1924,Sølund,48%,,,,19,86,5,"55.662736972834765, 12.507080479958635",https://boernehusetsoelund-kk.aula.dk/om-os/ledelsesstil-og-organisering
1925,Prinsesse Thyras Børnehus,70%,,,,,45,,,https://pasningogskole.kk.dk/institution/4000599/vuggestuen
1962,Regnbuen,53%,,,,,36,,,https://pasningogskole.kk.dk/institution/1000220/vuggestuen
1963,Valby Vuggestue,55%,,,,24,96,4,"55.692769642798964, 12.489061079960415 ",https://pasningogskole.kk.dk/institution/1000236/vuggestuen
1966,Labyrinten,70%,2,2,,4,24,6,"55.70864772278081, 12.476365649961636 ",https://labyrintenoghumlebien-kk.aula.dk/humlebien/humlebiens-stue
1969,Nabohuset,49%,,,ja,13,160,13,,https://www.bt.dk/samfund/foraeldre-raser-over-ledelsen-i-institutioner-i-koebenhavn-det-er-kaos
1971,Eventyrhaven,54%,,,,,,,,
1973,Trylleskoven (tidligere Arken),49%,,,,,149,,"55.703573042788086, 12.47539169996174 ",https://pasningogskole.kk.dk/institution/4000478/vuggestuen
1974,Børnekompasset,59%,16,9,,25,120,5,"55.71073585274803, 12.574259859950924 ",https://pasningogskole.kk.dk/institution/4000487/b-rnehave
1976,Børnehuset Troldehøj,47%,13,10,,23,116,6,"55.69809580278654, 12.50638869995863 ",https://simplyjob.com/536576/kbenhavns-kommune/brnehuset-troldehj-i-valby-sger-endnu-en-uddannet-paedagog-til-vuggestuen &&&&& https://pasningogskole.kk.dk/institution/4000523/b-rnehave 
1978,Ellepilen,55%,,,,,181,,,https://ellepilen-kk.aula.dk/ellepilen-0
1979,Børnehuset Savannen,53%,,,,15,110,8,"55.71042052278233, 12.462396439962971 ",https://pasningogskole.kk.dk/institution/4000543/vuggestuen
1981,Valnødden,62%,11,,,,80,,,https://pasningogskole.kk.dk/institution/4700556/vuggestuen
1984,Villa Valby,65%,,,,17,60,4,"55.65869666283488, 12.52510468995672 ",https://simplyjob.com/544547/kbenhavns-kommune/villa-valby-sger-en-paedagogmedhjaelper-p-30-timer-ugentligt
1987,Børnehuset Fengersvej,62%,10,5,,15,83,6,"55.69764748278706, 12.506753699958592 ",https://boernehusetfengersvej-kk.aula.dk/om-os/stuer/vuggestuen
2056,Rosa,53%,,,Ja,,136,,,https://pasningogskole.kk.dk/institution/4000201/vuggestuen
2057,Kastanie Allé,58%,,,,,,,,
2059,Rødkilde Børnehus,48%,,,,,88,,,
2061,Duetten,61%,10,5,,15,82,6,"55.697582472795354, 12.478659939961432 ",https://duetten-kk.aula.dk/om-os/om-duetten
2063,Andedammen,60%,,,,,190,,,https://simplyjob.com/551348/kbenhavns-kommune/naervaerende-paedagogmedhjaelper-til-andedammens-vuggestue
